PC1,PC2,PC3,PC4,PC5,rainfall
-1.6812706,1.4010957,-0.815937,-0.048957415,0.11307245,1.0
-3.3287625,1.8866315,-0.65573764,-0.09777388,1.1369765,1.0
-3.0029485,-2.5032446,-0.58018273,0.48061302,0.89133036,1.0
-2.7550502,2.3684893,0.80313873,-0.3694338,0.99553514,1.0
-2.9309843,-3.2902517,0.34637016,1.098036,-1.9074882,0.0
-3.158748,0.28195968,-1.0885592,0.28334758,-0.50363654,1.0
-2.9059963,-3.5256617,0.60559845,0.5132701,-1.3255013,0.0
-4.766422,2.2542646,2.2442958,-0.3195982,1.3156178,1.0
-3.6899672,1.6559317,0.9882513,0.21559627,0.13464089,1.0
-4.862639,-0.05933091,1.0749931,0.7161268,-0.10042969,0.0
-3.6724563,2.3084962,-0.48994517,-0.10694642,1.2411883,1.0
-3.4803157,2.42288,-0.5224186,0.0019213825,1.4544076,1.0
-4.174155,0.38184932,0.56926286,0.71878296,-0.27143273,1.0
-4.2542195,1.408617,0.9085171,0.34617782,0.79472774,1.0
-3.359338,0.19727124,-0.4965088,0.6370301,-0.36383495,1.0
-4.8622394,0.3231061,-0.8540187,0.8013696,-0.14029655,1.0
-4.8592267,-1.5098614,0.2668754,0.3495003,0.88872844,1.0
-4.113554,-1.9264843,-1.2078764,1.0662506,-0.62797403,0.0
-3.967201,-0.13620995,-0.6534765,0.48605528,-0.45309064,1.0
-4.1390166,0.36707753,-0.47275907,1.0280561,-0.6189896,1.0
-4.205016,1.41424,1.1802565,-0.42795968,0.90006495,1.0
-1.9966019,-3.8827555,-0.99458706,1.2053764,-1.6334286,0.0
-3.3068523,2.2140696,1.0955752,-0.3998557,0.94791305,1.0
-1.8038356,2.0210145,0.4729051,-0.20935021,0.33175045,1.0
-1.1463321,1.6701633,0.60726064,-0.19588688,-0.3506975,1.0
-0.3732321,-0.9628889,-1.1495678,0.21327774,-0.19628026,1.0
-1.3674862,2.2297034,-1.0260255,-0.4266108,0.2054134,1.0
-1.626417,0.3650169,-0.97740144,0.12941134,-0.28633586,1.0
-1.9819794,0.9813772,-0.43336612,-0.23217307,0.09743779,1.0
-1.2290578,-1.9450456,-0.827509,-0.21294518,0.09532948,0.0
-1.8393797,-1.048823,1.1960868,-0.021187441,-0.011803399,1.0
-1.560417,0.37920463,-0.43167683,-0.39193508,-0.19130465,0.0
-2.4047585,-2.6183498,0.02698119,1.1296241,-2.3261492,0.0
-2.8734286,1.1435267,0.813923,-0.16880557,0.677356,1.0
-1.9790581,1.699911,-1.2066294,-0.14567252,0.4457903,1.0
-3.8872116,0.4557075,0.17795254,0.6952457,-0.44398102,0.0
-1.5657568,1.0560066,-0.6006112,0.106480435,-0.8584178,1.0
-1.9764581,-2.4100997,0.27028304,-0.6597587,0.36435625,0.0
-2.1286533,-2.5665445,-1.1370134,0.15840776,0.80313545,0.0
