id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
1,1,0.6717021442222785,-0.9138091615288712,-0.6421987580065097,-0.4488151539594174,-0.19945651209944854,0.6364343586103943,0.6812685797574611,-0.7293973765923358,-0.5609005246648382,-0.46529080062643174,1
2,2,1.0431157233018307,-1.7982891288889349,-1.3508457424447327,-1.259417842765935,-0.95600080566566,1.6622236836199709,0.8477282684408082,-1.0328039140210543,-0.6859252980259369,0.009629442806216805,1
3,3,1.8566883250951103,-1.2322219497784943,-1.5040667120529962,-1.4966674102215014,-2.109730853354133,-0.9022496289039703,-1.5936804989149485,1.2565363229410944,-0.43587575130373946,-0.37434862635209454,1
4,4,-0.035752292119717984,-1.4621867412921103,-1.1784721516354348,-1.041939072598333,-0.6912103029174858,1.6622236836199709,1.0696745200186042,-1.0328039140210543,-0.5609005246648382,1.3939714289822354,1
5,5,1.4499020241984704,-0.8961195621816697,-1.063556424429237,-1.3780426264937184,-2.0529900313366674,-3.8513939383065026,-1.7046536247038464,-0.03983706425433926,-0.8109500713870357,0.3026653376901917,0
6,6,1.6090792723754357,-1.0199467576120784,-1.0252511820271704,-1.1210222617501882,-1.5044954185011636,-0.3893549663991821,0.2928626394963181,-1.0328039140210543,-1.0609996181092332,-0.61686109108366,1
7,7,1.6267656332839695,-1.2145323504312926,-1.063556424429237,-1.3582718292057543,-1.731458706571027,-3.3384992758017145,-1.6491670618093974,1.063459435486455,-1.0609996181092332,0.6664340347875394,0
8,8,1.0784884451189385,-1.8690475262777397,-1.9828822420788226,-1.8723125586928149,-1.6368906698752506,1.7904473492461679,1.3471073344908493,-1.0328039140210543,-0.6859252980259369,3.131977426225119,1
9,9,0.6717021442222785,-1.5506347380281167,-1.4274562272488645,-1.298959437341863,-1.5044954185011636,0.5082106929841973,1.3471073344908493,-1.0328039140210543,-0.6859252980259369,1.585960463561391,1
10,10,2.0866110169062915,-1.7452203308473309,-1.829661272470558,-2.0107081397085618,-2.24212610472822,-0.6458022976515763,0.4593223281796651,-0.7569797890858557,-0.6859252980259369,1.6667979518052458,0
