,date,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
0,1,1014.0,9.9,5.5,1.8,-1.1,63.5,45.0,2.3,70,4.0,0.0
1,2,1005.8,6.9,4.2,-0.9,-0.2,74.3,55.0,2.2,270,7.6,1.0
2,3,1012.1,0.1,-2.2,-4.6,-11.1,54.1,8.0,5.4,290,5.9,0.0
3,4,1014.2,4.3,0.3,-4.3,-9.9,48.6,38.0,1.6,50,3.0,0.0
4,5,1008.1,4.6,2.8,0.1,-0.1,83.6,100.0,0.0,70,5.2,1.0
5,6,1005.2,5.7,1.7,-4.2,-1.9,78.9,79.0,0.1,270,6.9,1.0
6,7,1013.5,-4.2,-8.2,-12.1,-16.8,50.9,29.0,5.5,290,7.2,0.0
7,8,1013.1,-0.1,-3.8,-7.2,-8.0,73.5,48.0,3.0,50,4.8,1.0
8,9,1012.0,1.0,-1.9,-6.0,-8.0,63.5,70.0,0.1,50,3.9,0.0
9,10,1014.8,2.3,-0.8,-4.8,-7.7,63.3,34.0,5.1,270,5.5,1.0
10,11,1016.2,4.9,-0.2,-7.1,-7.8,57.9,53.0,4.6,70,4.4,0.0
11,12,1008.8,5.1,3.7,2.6,0.8,81.8,96.0,0.0,70,4.9,1.0
12,13,1005.7,4.0,0.7,-2.1,-1.7,83.8,99.0,0.0,270,5.3,1.0
13,14,1012.0,1.1,-1.4,-2.6,-6.3,68.6,86.0,0.2,270,4.2,0.0
14,15,1015.0,3.3,-1.1,-4.9,-7.1,64.8,36.0,3.6,290,3.3,0.0
15,16,1012.3,4.5,0.2,-2.2,-5.8,65.6,26.0,5.1,270,5.6,0.0
16,17,1010.6,3.8,-0.9,-4.4,-5.7,70.5,18.0,3.5,270,4.3,0.0
17,18,1010.6,2.3,-1.8,-5.1,-8.0,65.5,0.0,6.1,270,4.5,0.0
18,19,1010.4,-1.2,-4.7,-7.5,-9.3,71.1,80.0,0.1,270,7.0,1.0
19,20,1021.3,-5.4,-8.5,-11.4,-16.1,55.5,8.0,6.5,270,6.3,0.0
20,21,1027.7,-2.6,-7.0,-11.6,-15.7,51.5,6.0,6.2,270,4.7,0.0
21,22,1019.9,1.6,-2.5,-6.7,-9.4,62.8,89.0,0.9,70,3.8,1.0
22,23,1013.3,7.4,2.4,-1.1,-2.4,72.8,53.0,5.2,70,4.7,1.0
23,24,1018.6,0.2,-2.9,-6.5,-9.5,61.3,46.0,4.0,290,5.6,0.0
24,25,1020.5,-2.9,-7.5,-10.6,-17.6,45.8,0.0,6.6,290,5.6,0.0
25,26,1019.7,-4.5,-8.3,-11.2,-17.3,48.9,0.0,6.2,270,5.4,0.0
26,27,1021.6,-0.8,-5.9,-11.2,-14.8,51.6,0.0,6.6,270,4.8,0.0
27,28,1022.7,2.5,-3.4,-8.7,-10.2,60.6,0.0,5.6,270,4.3,0.0
28,29,1021.4,2.7,-0.3,-4.1,-4.9,71.4,91.0,0.2,50,4.2,0.0
29,30,1022.7,1.0,-4.3,-8.1,-11.6,58.6,20.0,5.5,270,7.4,0.0
30,31,1026.1,-4.7,-7.8,-10.7,-17.2,49.0,1.0,6.3,270,5.4,0.0
31,32,1022.0,-2.0,-6.6,-11.6,-14.8,55.0,29.0,4.9,270,4.6,0.0
32,33,1019.9,0.8,-3.8,-8.8,-9.8,66.3,4.0,5.4,270,5.0,0.0
33,34,1017.2,2.0,-1.8,-4.3,-6.6,69.9,73.0,1.0,290,6.8,0.0
34,35,1019.5,3.7,-2.0,-7.1,-10.2,56.9,3.0,5.9,270,4.2,0.0
35,36,1014.3,4.1,-0.5,-5.9,-6.6,66.3,61.0,1.0,50,4.7,1.0
36,37,1009.4,2.3,-0.1,-1.3,-2.9,83.4,88.0,1.8,270,5.8,1.0
37,38,1005.4,1.7,-1.6,-5.3,-6.8,68.1,75.0,0.3,270,6.2,0.0
38,39,1006.8,-4.4,-6.9,-9.4,-15.4,51.4,18.0,4.3,270,6.4,0.0
39,40,1012.1,-0.8,-5.2,-9.5,-16.3,43.8,0.0,7.6,270,5.2,0.0
40,41,1010.6,3.1,-2.2,-8.8,-12.0,49.0,14.0,6.0,270,4.5,0.0
41,42,1009.1,5.3,1.6,-1.0,-4.2,67.0,44.0,4.2,270,5.7,0.0
42,43,1008.9,6.1,2.1,-1.5,-1.7,76.4,48.0,0.0,270,3.9,0.0
43,44,1008.1,6.5,2.5,-2.2,-1.1,77.3,68.0,1.6,50,4.3,0.0
44,45,1004.4,3.5,-0.3,-4.3,-8.6,58.8,40.0,7.0,290,8.2,1.0
45,46,1007.9,-2.0,-5.4,-7.8,-16.2,42.3,16.0,7.7,270,8.3,0.0
46,47,1010.7,-0.2,-4.6,-8.1,-15.3,43.8,0.0,7.7,270,6.6,0.0
47,48,1014.9,0.4,-3.9,-8.4,-14.0,47.1,0.0,7.9,270,6.1,0.0
48,49,1014.7,3.1,-2.1,-7.5,-13.4,41.8,16.0,7.2,270,5.5,0.0
49,50,1006.5,7.5,1.7,-3.7,-9.5,44.3,63.0,3.3,50,4.6,0.0
50,51,1004.9,4.2,-0.7,-4.3,-8.6,57.0,9.0,7.7,290,6.3,0.0
51,52,1010.9,3.1,-1.7,-5.6,-12.5,44.6,0.0,8.1,270,6.3,0.0
52,53,1013.1,4.6,-0.6,-5.6,-10.5,48.3,15.0,6.2,270,5.2,0.0
53,54,1012.4,4.4,0.6,-2.9,-6.5,58.8,69.0,0.2,270,6.1,0.0
